Monarch Manuscript Mortality Results
 =================================


-----------------------------------
 Life-table data 
-----------------------------------
    x  nx          lx dx        lower      upper strata          qx
66 20 342 0.738938053  8 0.6995367788 0.78055860 Female 0.023391813
67 21 334 0.705752212 15 0.6649672813 0.74903864 Female 0.044910180
68 22 319 0.672566372 15 0.6306662599 0.71725024 Female 0.047021944
69 23 304 0.630530973 19 0.5875686928 0.67663460 Female 0.062500000
70 24 285 0.555309735 34 0.5113369059 0.60306404 Female 0.119298246
71 25 251 0.480088496 34 0.4361709086 0.52842810 Female 0.135458167
72 26 217 0.426991150 24 0.3837412470 0.47511557 Female 0.110599078
73 27 193 0.351769912 34 0.3103907920 0.39866540 Female 0.176165803
74 28 159 0.314159292 17 0.2741534814 0.36000295 Female 0.106918239
75 29 142 0.236725664 35 0.2006103321 0.27934274 Female 0.246478873
76 30 107 0.205752212 14 0.1716650159 0.24660804 Female 0.130841121
77 31  93 0.163716814 19 0.1329244338 0.20164235 Female 0.204301075
78 32  74 0.119469027 20 0.0930166634 0.15344399 Female 0.270270270
79 33  54 0.097345133 10 0.0735184758 0.12889379 Female 0.185185185
80 34  44 0.081858407  7 0.0601141046 0.11146800 Female 0.159090909
81 35  37 0.075221239  3 0.0544450423 0.10392562 Female 0.081081081
82 36  34 0.066371681  4 0.0469700752 0.09378738 Female 0.117647059
83 37  30 0.053097345  6 0.0359747502 0.07836964 Female 0.200000000
84 38  24 0.046460177  3 0.0305984693 0.07054431 Female 0.125000000
85 39  21 0.037610619  4 0.0235930066 0.05995669 Female 0.190476190
86 40  17 0.033185841  2 0.0201767438 0.05458264 Female 0.117647059
87 41  15 0.028761062  2 0.0168323139 0.04914349 Female 0.133333333
88 42  13 0.022123894  3 0.0119862199 0.04083578 Female 0.230769231
89 43  10 0.019911504  1 0.0104281967 0.03801885 Female 0.100000000
90 45   9 0.017699115  1 0.0089059752 0.03517399 Female 0.111111111
91 47   8 0.015486726  1 0.0074256865 0.03229852 Female 0.125000000
92 48   7 0.011061947  2 0.0046267282 0.02644778 Female 0.285714286
93 52   5 0.006637168  2 0.0021486960 0.02050174 Female 0.400000000
94 55   3 0.004424779  1 0.0011100289 0.01763798 Female 0.333333333
95 57   2 0.002212389  1 0.0003123217 0.01567188 Female 0.500000000
96 73   1 0.000000000  1           NA         NA Female 1.000000000
